"smolt year","smolt","adults","survival rate (%)"
1984,NA,NA,NA
1985,NA,NA,NA
1986,NA,NA,NA
1987,NA,NA,NA
1988,NA,NA,NA
1989,NA,NA,NA
1990,NA,NA,NA
1991,NA,NA,NA
1992,NA,NA,NA
1993,NA,531,NA
1994,NA,726,NA
1995,6165,632,10.3
1996,1978,444,22.4
1997,9969,570,5.7
1998,4746,226,4.8
1999,2615,273,10.4
2000,3165,316,10
2001,11930,585,4.9
2002,1241,284,22.9
2003,10131,1127,11.1
2004,7831,487,6.2
2005,10761,898,8.3
2006,7144,504,7.1
2007,7540,375,5
2008,10540,317,3
2009,13680,894,6.5
2010,10550,468,4.4
2011,8783,428,4.9
2012,8147,690,8.5
2013,8541,767,9
2014,10260,593,5.8
2015,6589,NA,NA
2016,9789,NA,NA
