"smolt year","smolt","adults","survival rate (%)"
1982,3165,NA,NA
1983,3415,101,3
1984,3024,140,4.6
1985,3629,214,5.9
1986,1982,168,8.5
1987,1871,144,7.7
1988,NA,227,NA
1989,NA,100,NA
1990,NA,202,NA
1991,NA,161,NA
1992,2052,65,3.2
1993,1755,53,3
1994,2433,136,5.6
1995,2129,49,2.3
1996,1728,45,2.6
1997,6277,273,4.3
1998,1659,42,2.5
1999,660,75,11.4
2000,1766,119,6.7
2001,NA,134,NA
2002,1765,42,2.4
2003,2974,132,4.4
2004,7552,376,5
2005,5201,129,2.5
2006,2705,83,3.1
2007,5423,186,3.4
2008,6649,133,2
2009,1161,173,14.9
2010,2838,174,6.1
2011,6447,207,3.2
2012,6435,196,3
2013,1853,182,9.8
2014,2649,152,5.7
2015,7506,NA,NA
2016,7751,NA,NA
